               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.020362,            0.011778,                   0,             0.82862,             0.73443,             0.75758,             0.43579,            0.040448,            0.012679,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020642,            0.012121,                   0,             0.86523,             0.67932,              0.7418,             0.42793,            0.042201,            0.012782,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020597,             0.01167,                   0,             0.88999,             0.68273,             0.74609,              0.4264,            0.042539,            0.012663,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.020244,             0.01201,                   0,             0.90062,             0.68829,             0.74878,             0.43286,            0.041875,            0.012969,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.019477,            0.011726,                   0,             0.88669,             0.71308,             0.75694,             0.42855,            0.042271,            0.012647,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020259,            0.012085,                   0,             0.82616,             0.75527,             0.77019,             0.44508,              0.0419,            0.012453,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.01948,            0.011342,                   0,               0.861,             0.70042,             0.76173,             0.45143,            0.041442,            0.013038,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.019426,            0.011951,                   0,             0.89239,              0.6962,             0.76133,             0.45236,            0.040979,            0.012516,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.019275,            0.011203,                   0,             0.83591,              0.7173,             0.76978,             0.46289,            0.040915,            0.012474,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.018924,            0.011344,                   0,             0.88004,             0.68102,             0.76721,             0.45939,            0.040431,             0.01274,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019677,            0.011297,                   0,             0.87306,             0.67932,             0.75687,             0.45241,            0.040628,            0.013158,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.019655,            0.011325,                   0,             0.87293,             0.69198,             0.74744,             0.45803,            0.041079,            0.013063,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.018303,            0.011228,                   0,             0.92872,             0.66245,             0.74778,             0.45566,            0.041199,            0.012973,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.019083,            0.011019,                   0,             0.87403,             0.70042,             0.75167,             0.45271,             0.04121,            0.012835,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.018023,            0.010802,                   0,             0.86903,             0.70042,             0.75113,             0.45878,            0.041578,            0.012979,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.018195,            0.011017,                   0,             0.87058,             0.68121,             0.74327,             0.44953,            0.041641,            0.013002,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.018891,            0.011027,                   0,             0.87637,             0.68792,             0.74285,             0.45334,            0.041196,            0.012575,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.018492,            0.011008,                   0,             0.87168,             0.70464,             0.75312,             0.45229,            0.040996,             0.01288,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.018244,            0.010513,                   0,             0.88444,             0.71308,             0.76411,             0.44843,            0.041105,             0.01289,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.018568,             0.01102,                   0,             0.86026,             0.70042,             0.75518,              0.4462,            0.041503,            0.012978,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.018462,            0.011114,                   0,             0.91877,             0.67511,             0.75722,              0.4555,            0.041733,            0.013038,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.018185,            0.010692,                   0,              0.8879,             0.68776,             0.75129,             0.44568,            0.042326,            0.012863,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.01726,            0.010092,                   0,              0.8747,             0.67745,             0.75912,             0.44499,            0.042382,             0.01294,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.017648,            0.010368,                   0,             0.85231,             0.70886,             0.76177,             0.45599,            0.042374,            0.012843,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017316,             0.01103,                   0,             0.85451,             0.69388,             0.75568,             0.45068,            0.042198,            0.012708,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.017525,            0.010871,                   0,             0.84216,             0.71308,             0.75908,             0.45532,            0.042534,            0.012684,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.017763,            0.010749,                   0,              0.8794,             0.70769,             0.76631,              0.4593,            0.042539,            0.012629,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.017288,             0.01036,                   0,             0.86744,             0.70464,             0.76736,             0.45618,            0.042627,            0.012699,                   0,            0.000298,            0.000298,            0.000298
